Sr.No.,Zone,Circle,Division,Substation,DistrictName
1,CENTRAL,ETC Bareilly,400 kV S/S Div. Bareilly,400KV S/S BAREILLY,Bareilly
2,CENTRAL,ETC Bareilly,ETD Bareilly-I,220KV S/S C.B.GANJ,Bareilly
3,CENTRAL,ETC Bareilly,ETD Bareilly-I,132KV S/S BAREILLY - II,Bareilly
4,CENTRAL,ETC Bareilly,ETD Bareilly-I,132KV S/S BAREILLY(TOWN),Bareilly
5,CENTRAL,ETC Bareilly,ETD Bareilly-I,132KV S/S FARIDPUR,Bareilly
6,CENTRAL,ETC Bareilly,ETD Bareilly-I,132KV S/S RICHHA,Bareilly
7,CENTRAL,ETC Bareilly,ETD Bareilly-I,132KV S/S MEERGANJ,Bareilly
8,CENTRAL,ETC Bareilly,ETD Bareilly-I,220KV S/S FARIDPUR,Bareilly
9,CENTRAL,ETC Bareilly,ETD Bareilly-II,220KV S/S BAREILLY(DOHNA),Bareilly
10,CENTRAL,ETC Bareilly,ETD Bareilly-II,132KV S/S BAREILLY(DOHNA),Bareilly
11,CENTRAL,ETC Bareilly,ETD Bareilly-II,132KV S/S NAWABGANJ,Bareilly
12,CENTRAL,ETC Bareilly,ETD Bareilly-II,220KV S/S PILIBHIT,Pilibhit
13,CENTRAL,ETC Bareilly,ETD Bareilly-II,132 KV S/S PILIBHIT,Pilibhit
14,CENTRAL,ETC Bareilly,ETD Bareilly-II,132KV S/S BISALPUR,Pilibhit
15,CENTRAL,ETC Bareilly,ETD Bareilly-II,132KV S/S POORANPUR,Pilibhit
16,CENTRAL,ETC Bareilly,ETD Bareilly-II,220KV S/S AMARIYA,Pilibhit
17,CENTRAL,ETC Bareilly,ETD Budaun,220KV S/S BADAUN,Budaun
18,CENTRAL,ETC Bareilly,ETD Budaun,132KV S/S BILSI,Budaun
19,CENTRAL,ETC Bareilly,ETD Budaun,132KV S/S BISAULI,Budaun
20,CENTRAL,ETC Bareilly,ETD Budaun,132KV S/S UJHANI,Budaun
21,CENTRAL,ETC Bareilly,ETD Budaun,132KV S/S SAHASWAN,Budaun
22,CENTRAL,ETC Bareilly,ETD Budaun,132KV S/S USAWAN,Budaun
23,CENTRAL,ETC Bareilly,ETD Budaun,132 KV S/S BADAUN,Budaun
24,CENTRAL,ETC Bareilly,ETD Budaun,220KV S/S DATAGANJ,Budaun
25,CENTRAL,ETC Bareilly,ETD Budaun,wrong,Bareilly
26,CENTRAL,ETC Bareilly,ETD Budaun,wrong2,Bareilly
27,CENTRAL,ETC Bareilly,ETD Budaun,132KV S/S AONLA,Bareilly
28,CENTRAL,ETC Gonda,ETD Behraich,220KV S/S BEHRAICH,Behraich
29,CENTRAL,ETC Gonda,ETD Behraich,132KV S/S BEGAMPUR,Behraich
30,CENTRAL,ETC Gonda,ETD Behraich,132 KV S/S PYAGPUR,Behraich
31,CENTRAL,ETC Gonda,ETD Behraich,132KV S/S BEHRAICH,Behraich
32,CENTRAL,ETC Gonda,ETD Behraich,132KV S/S NANPARA,Behraich
33,CENTRAL,ETC Gonda,ETD Behraich,132KV S/S KAISERGANJ,Behraich
34,CENTRAL,ETC Gonda,ETD Behraich,132KV S/S BHINGA,Shravasti
35,CENTRAL,ETC Gonda,ETD Gonda,132KV S/S BALRAMPUR,Balrampur
36,CENTRAL,ETC Gonda,ETD Gonda,132KV S/S TULSIPUR,Balrampur
37,CENTRAL,ETC Gonda,ETD Gonda,132KV S/S UTRAULA,Balrampur
38,CENTRAL,ETC Gonda,ETD Gonda,220KV S/S BALRAMPUR,Balrampur
39,CENTRAL,ETC Gonda,ETD Gonda,220KV S/S GONDA,Gonda
40,CENTRAL,ETC Gonda,ETD Gonda,132KV S/S COLONELGANJ,Gonda
41,CENTRAL,ETC Gonda,ETD Gonda,132KV S/S MANKAPUR,Gonda
42,CENTRAL,ETC Gonda,ETD Gonda,132KV S/S NABABGANJ,Gonda
43,CENTRAL,ETC Gonda,ETD Gonda,132KV S/S ITIATHOK,Gonda
44,CENTRAL,ETC Gonda,ETD Gonda,132KV S/S GHARIGHAT,Gonda
45,CENTRAL,ETC Lucknow-I,ETD Lucknow-I,220KV S/S LUCKNOW(HARDOI ROAD),Lucknow
46,CENTRAL,ETC Lucknow-I,ETD Lucknow-I,220KV S/S KANPUR ROAD(GIS),Lucknow
47,CENTRAL,ETC Lucknow-I,ETD Lucknow-I,132KV S/S LUCKNOW(MARTINPURWA,Lucknow
48,CENTRAL,ETC Lucknow-I,ETD Lucknow-I,132KV S/S LUCKNOW(MOHAAN ROAD),Lucknow
49,CENTRAL,ETC Lucknow-I,ETD Lucknow-I,132KV S/S LUCKNOW(NEEBU PARK) mehtab,Lucknow
50,CENTRAL,ETC Lucknow-I,ETD Lucknow-I,132KV S/S LUCKNOW(RAHIMABAD),Lucknow
51,CENTRAL,ETC Lucknow-I,ETD Lucknow-I,132KV S/S HANUMAN SETU,Lucknow
52,CENTRAL,ETC Lucknow-I,ETD Lucknow-I,132KV S/S LUCKNOW(SGPGI),Lucknow
53,CENTRAL,ETC Lucknow-I,ETD Lucknow-I,132KV S/S LUCKNOW(TRT),Lucknow
54,CENTRAL,ETC Lucknow-I,ETD Lucknow-I,400KV S/S JEHTA(HARDOI ROAD),Lucknow
55,CENTRAL,ETC Lucknow-I,ETD Lucknow-I,220KV S/S MOHAN ROAD,Lucknow
56,CENTRAL,ETC Lucknow-I,ETD Lucknow-I,220KV S/S BIJNORE,Lucknow
57,CENTRAL,ETC Lucknow-I,ETD Lucknow-I,132KV S/S JEHTA,Lucknow
58,CENTRAL,ETC Lucknow-I,ETD Lucknow-II,220KV S/S LUCKNOW(BKT),Lucknow
59,CENTRAL,ETC Lucknow-I,ETD Lucknow-II,220KV S/S LUCKNOW(CHINHAT),Lucknow
60,CENTRAL,ETC Lucknow-I,ETD Lucknow-II,"220KV S/S, AVAS VIKAS SULTANPUR RD,LKO",Lucknow
61,CENTRAL,ETC Lucknow-I,ETD Lucknow-II,220KV S/S LUCKNOW(GOMTI NAGAR),Lucknow
62,CENTRAL,ETC Lucknow-I,ETD Lucknow-II,220KV S/S LUCKNOW(KURSI ROAD),Lucknow
63,CENTRAL,ETC Lucknow-I,ETD Lucknow-II,220KV S/S LUCKNOW(CG CITY),Lucknow
64,CENTRAL,ETC Lucknow-I,ETD Lucknow-II,132KV S/S LUCKNOW(INDIRA NAGAR),Lucknow
65,CENTRAL,ETC Lucknow-I,ETD Lucknow-II,132KV S/S LUCKNOW(KHURRAM NAGAR),Lucknow
66,CENTRAL,ETC Lucknow-I,ETD Lucknow-II,132KV S/S LUCKNOW(NKN),Lucknow
67,CENTRAL,ETC Lucknow-I,ETD Lucknow-II,132KV S/S LUCKNOW(SAHARA CITY),Lucknow
68,CENTRAL,ETC Lucknow-I,ETD Lucknow-II,132 kV S/S GOMTI NAGAR,Lucknow
69,CENTRAL,ETC Lucknow-I,ETD Lucknow-II,220KV S/S SATRIKH ROAD,Lucknow
70,CENTRAL,ETC Lucknow-I,ETD Lucknow-III (Barabanki),132KV S/S LUCKNOW(MOHANLAL GANJ),Lucknow
71,CENTRAL,ETC Lucknow-I,ETD Lucknow-III (Barabanki),220KV S/S BARABANKI,Barabanki
72,CENTRAL,ETC Lucknow-I,ETD Lucknow-III (Barabanki),132KV S/S BARABANKI,Barabanki
73,CENTRAL,ETC Lucknow-I,ETD Lucknow-III (Barabanki),132KV S/S HAIDERGARH,Barabanki
74,CENTRAL,ETC Lucknow-I,ETD Lucknow-III (Barabanki),132KV S/S NINDURA,Barabanki
75,CENTRAL,ETC Lucknow-I,ETD Lucknow-III (Barabanki),132KV S/S RAM SANEHI GHAT,Barabanki
76,CENTRAL,ETC Lucknow-II,400 kV S/S Div Sarojini Nagar Lucknow,400KV S/S LUCKNOW(SAROJINI NAGAR),Lucknow
77,CENTRAL,ETC Lucknow-II,400 kV S/S Div Sarojini Nagar Lucknow,220KV S/S LUCKNOW(SAROJINI NAGAR),Lucknow
78,CENTRAL,ETC Lucknow-II,400kV S/S Div.Unnao,400KV S/S UNNAO,Unnao
79,CENTRAL,ETC Lucknow-II,765kV S/S Div. Unnao,765KV S/s UNNAO,Unnao
80,CENTRAL,ETC Lucknow-II,765kV S/S Div. Unnao,765/400KV S/S UNNAO,Unnao
81,CENTRAL,ETC Lucknow-II,ETD Unnao,220kV S/S DAHI CHAUKI,Unnao
82,CENTRAL,ETC Lucknow-II,ETD Unnao,132KV S/S BANGERMAU,Unnao
83,CENTRAL,ETC Lucknow-II,ETD Unnao,132KV S/S BIGHAPUR,Unnao
84,CENTRAL,ETC Lucknow-II,ETD Unnao,132KV S/S CHAKALWANSHI,Unnao
85,CENTRAL,ETC Lucknow-II,ETD Unnao,132KV S/S HASANGANJ,Unnao
86,CENTRAL,ETC Lucknow-II,ETD Unnao,132KV S/S MAURAWAN,Unnao
87,CENTRAL,ETC Lucknow-II,ETD Unnao,132KV S/S UNNAO(KUNDAN ROAD),Unnao
88,CENTRAL,ETC Lucknow-II,ETD Unnao,132KV S/S UNNAO(SONIK),Unnao
89,CENTRAL,ETC Shahjahanpur,ETD Hardoi,220KV S/S HARDOI,Hardoi
90,CENTRAL,ETC Shahjahanpur,ETD Hardoi,132KV S/S BAGHAULI,Hardoi
91,CENTRAL,ETC Shahjahanpur,ETD Hardoi,132KV S/S SAHABAD,Hardoi
92,CENTRAL,ETC Shahjahanpur,ETD Hardoi,132KV S/S ASHA,Hardoi
93,CENTRAL,ETC Shahjahanpur,ETD Hardoi,132KV S/S SANDILA,Hardoi
94,CENTRAL,ETC Shahjahanpur,ETD Hardoi,132KV S/S SHRIMAU,Hardoi
95,CENTRAL,ETC Shahjahanpur,ETD Hardoi,132KV S/S BHARAWAN(SANDILA),Hardoi
96,CENTRAL,ETC Shahjahanpur,ETD Hardoi,220KV S/S MALLAWAN,Hardoi
97,CENTRAL,ETC Shahjahanpur,ETD Lakhimpur,220KV S/S NIGHASAN,Lakhimpur
98,CENTRAL,ETC Shahjahanpur,ETD Lakhimpur,132KV S/S DHAURHARA,Lakhimpur
99,CENTRAL,ETC Shahjahanpur,ETD Lakhimpur,132KV S/S GOLA,Lakhimpur
100,CENTRAL,ETC Shahjahanpur,ETD Lakhimpur,132KV S/S LAKHIMPUR(KHERI),Lakhimpur
101,CENTRAL,ETC Shahjahanpur,ETD Lakhimpur,132KV S/S MOHAMMADI,Lakhimpur
102,CENTRAL,ETC Shahjahanpur,ETD Lakhimpur,132KV S/S PALLIA,Lakhimpur
103,CENTRAL,ETC Shahjahanpur,ETD Lakhimpur,132KV S/S OYAL,Lakhimpur
104,CENTRAL,ETC Shahjahanpur,ETD Lakhimpur,220KV S/S GOLA (Lakhimpur),Lakhimpur
105,CENTRAL,ETC Shahjahanpur,ETD Shahjahanpur,220KV S/S SITAPUR,Sitapur
106,CENTRAL,ETC Shahjahanpur,ETD Shahjahanpur,132KV S/S MISHRIKH,Sitapur
107,CENTRAL,ETC Shahjahanpur,ETD Shahjahanpur,220KV S/S SHAHJAHANPUR,Shahjahanpur
108,CENTRAL,ETC Shahjahanpur,ETD Shahjahanpur,132KV S/S POWAYAN,Shahjahanpur
109,CENTRAL,ETC Shahjahanpur,ETD Shahjahanpur,132KV S/S BANDAA,Shahjahanpur
110,CENTRAL,ETC Shahjahanpur,ETD Shahjahanpur,132KV S/S SHAHJAHANPUR,Shahjahanpur
